Date,Country_name,Confirmed
2020/5/1,Algeria,4154
2020/5/2,Algeria,4295
2020/5/3,Algeria,4474
2020/5/4,Algeria,4648
2020/5/5,Algeria,4838
2020/5/6,Algeria,4997
2020/5/7,Algeria,5182
2020/5/8,Algeria,5369
2020/5/9,Algeria,5558
2020/5/10,Algeria,5723
2020/5/11,Algeria,5891
2020/5/12,Algeria,6067
2020/5/13,Algeria,6253
2020/5/14,Algeria,6442
2020/5/15,Algeria,6629
2020/5/16,Algeria,6821
2020/5/17,Algeria,7019
2020/5/18,Algeria,7201
2020/5/19,Algeria,7377
2020/5/20,Algeria,7542
2020/5/21,Algeria,7728
2020/5/22,Algeria,7918
2020/5/23,Algeria,8113
2020/5/24,Algeria,8306
2020/5/25,Algeria,8503
2020/5/26,Algeria,8697
2020/5/27,Algeria,8857
2020/5/28,Algeria,8997
2020/5/29,Algeria,9134
2020/5/30,Algeria,9267
2020/5/31,Algeria,9394
2020/6/1,Algeria,9513
2020/6/2,Algeria,9626
2020/6/3,Algeria,9733
2020/6/4,Algeria,9831
2020/6/5,Algeria,9935
2020/6/6,Algeria,10050
2020/6/7,Algeria,10154
2020/6/8,Algeria,10265
2020/6/9,Algeria,10382
2020/6/10,Algeria,10484
2020/6/11,Algeria,10589
2020/6/12,Algeria,10698
2020/6/13,Algeria,10810
2020/6/14,Algeria,10919
2020/6/15,Algeria,11031
2020/6/16,Algeria,11147
2020/6/17,Algeria,11268
2020/6/18,Algeria,11385
2020/6/19,Algeria,11504
2020/6/20,Algeria,11631
2020/6/21,Algeria,11771
2020/6/22,Algeria,11920
2020/6/23,Algeria,12076
2020/6/24,Algeria,12248
2020/6/25,Algeria,12445
2020/6/26,Algeria,12685
2020/6/27,Algeria,12968
2020/6/28,Algeria,13273
2020/6/29,Algeria,13571
2020/6/30,Algeria,13907
2020/7/1,Algeria,14272
2020/7/2,Algeria,14657
2020/7/3,Algeria,15070
2020/7/4,Algeria,15500
2020/7/5,Algeria,15941
2020/7/6,Algeria,16404
2020/7/7,Algeria,16879
2020/7/8,Algeria,17348
2020/7/9,Algeria,17808
2020/7/10,Algeria,18242
2020/7/11,Algeria,18712
2020/7/12,Algeria,19195
2020/7/13,Algeria,19689
2020/7/14,Algeria,20216
2020/7/15,Algeria,20770
2020/7/16,Algeria,21355
2020/7/17,Algeria,21948
2020/7/18,Algeria,22549
2020/7/19,Algeria,23084
2020/7/20,Algeria,23691
2020/7/21,Algeria,24278
2020/7/22,Algeria,24872
2020/7/23,Algeria,25484
2020/7/24,Algeria,26159
2020/7/25,Algeria,26764
2020/7/26,Algeria,27357
2020/7/27,Algeria,27973
2020/7/28,Algeria,28615
2020/7/29,Algeria,29229
2020/7/30,Algeria,29831
2020/7/31,Algeria,30394
2020/8/1,Algeria,30950
2020/8/2,Algeria,31465
2020/8/3,Algeria,31972
2020/8/4,Algeria,32504
2020/8/5,Algeria,33055
2020/8/6,Algeria,33626
2020/8/7,Algeria,34155
2020/8/8,Algeria,34693
2020/8/9,Algeria,35160
2020/8/10,Algeria,35712
2020/8/11,Algeria,36204
2020/8/12,Algeria,36699
2020/8/13,Algeria,37187
2020/8/14,Algeria,37664
2020/8/15,Algeria,38133
2020/8/16,Algeria,38583
2020/8/17,Algeria,39025
2020/8/18,Algeria,39444
2020/8/19,Algeria,39847
2020/8/20,Algeria,40258
2020/8/21,Algeria,40667
2020/8/22,Algeria,41068
2020/8/23,Algeria,41460
2020/8/24,Algeria,41858
2020/8/25,Algeria,42228
2020/8/26,Algeria,42619
2020/8/27,Algeria,43016
2020/8/28,Algeria,43403
2020/8/29,Algeria,43781
2020/8/30,Algeria,44146
2020/8/31,Algeria,44494
2020/9/1,Algeria,44833
2020/9/2,Algeria,45158
2020/9/3,Algeria,45469
2020/9/4,Algeria,45773
2020/9/5,Algeria,46071
2020/9/6,Algeria,46364
2020/9/7,Algeria,46653
2020/9/8,Algeria,46938
2020/9/9,Algeria,47216
2020/9/10,Algeria,47488
2020/9/11,Algeria,47752
2020/9/12,Algeria,48007
2020/9/13,Algeria,48254
2020/9/14,Algeria,48496
